Imp_B365H,Imp_B365D,Imp_B365A,Imp_BbAvH,Imp_BbAvD,Imp_BbAvA,Imp_PSCH,Imp_PSCD,Imp_PSCA,BbOU,BbAHh,BbAv_gt_2_5,BbAv_lt_2_5,HomeTeam_enc,AwayTeam_enc,Div_enc,Home_Wins_Last5,Home_Draws_Last5,Home_Losses_Last5,Away_Wins_Last5,Away_Draws_Last5,Away_Losses_Last5,Draws_Diff_Last5,Wins_Diff_Last5,Losses_Diff_Last5,FTR,FTR_enc,HomeTeam,AwayTeam,FTR_pred,Prob_A,Prob_D,Prob_H,Est_BbAvH,Est_BbAvD,Est_BbAvA,chosen_odds,chosen_prob,Expected_Value,confidence,prob_gap,spread_skew,Value_Bet,Kelly,Confidence_Stake,meta_success_prob,meta_filtered,profit_kelly
0.3703703703703703,0.3333333333333333,0.3636363636363636,0.3745318352059925,0.334448160535117,0.3623188405797102,0.3333333333333333,0.3215434083601286,0.3636363636363636,24.0,0.0,2.43,1.53,21,136,2,2.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,H,2,Brest,Valenciennes,H,0.2304182409742401,0.2435437747672641,0.5260379842584957,2.6700000000000004,2.9900000000000007,2.76,2.6700000000000004,0.5260379842584957,0.4045214179701837,0.5260379842584957,0.2956197432842555,0.2956197432842555,True,0.2422283939941219,0.5260379842584957,0.8521678518433724,True,0.4045214179701837
0.4545454545454545,0.3125,0.2941176470588235,0.4385964912280702,0.3215434083601286,0.3076923076923077,0.423728813559322,0.3021148036253776,0.2949852507374631,25.0,-0.25,2.16,1.63,119,133,2,1.0,0.0,4.0,0.0,2.0,3.0,2.0,1.0,1.0,H,2,Sochaux,Troyes,H,0.2042730207596781,0.2450129270127087,0.550714052227613,2.28,3.11,3.25,2.28,0.550714052227613,0.2556280390789576,0.550714052227613,0.3464410314679349,0.3464410314679349,True,0.1997094055304356,0.550714052227613,0.8092348721556387,True,0.25562803907895754
0.4,0.3225806451612903,0.3448275862068966,0.3861003861003861,0.3246753246753247,0.3546099290780142,0.3731343283582089,0.3144654088050314,0.3333333333333333,34.0,-0.25,2.15,1.7,112,76,2,1.0,1.0,3.0,0.0,4.0,1.0,3.0,1.0,2.0,H,2,Rennes,Lille,H,0.2404818867870959,0.1890429672565834,0.5704751459563208,2.59,3.08,2.82,2.59,0.5704751459563208,0.4775306280268707,0.5704751459563208,0.3814321786997373,0.3299932591692248,True,0.3003337283187866,0.5704751459563208,0.867200643410321,True,0.47753062802687063
0.3125,0.3333333333333333,0.4166666666666667,0.3289473684210526,0.3278688524590164,0.4081632653061224,0.3134796238244514,0.3194888178913738,0.3875968992248061,26.0,0.25,2.41,1.53,93,92,2,0.0,1.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,A,0,Nancy,Montpellier,A,0.483048667421943,0.2063075864122093,0.3106437461658475,3.0400000000000005,3.05,2.45,2.45,0.483048667421943,0.1834692351837605,0.483048667421943,0.2767410810097337,0.1724049212560955,True,0.126530507023283,0.483048667421943,0.7798565900876534,True,0.18346923518376038
0.4347826086956522,0.2941176470588235,0.3333333333333333,0.4484304932735426,0.2915451895043731,0.3215434083601286,0.4291845493562232,0.2710027100271003,0.3205128205128205,34.0,-0.25,1.71,2.12,100,127,0,2.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,A,0,Nurnberg,Stuttgart,A,0.4023069981253118,0.2285791375115666,0.3691138643631215,2.23,3.430000000000001,3.11,3.11,0.4023069981253118,0.2511747641697197,0.4023069981253118,0.1737278606137451,0.0331931337621903,True,0.1190401725922842,0.4023069981253118,0.5875759357410645,True,0.2511747641697196
0.3333333333333333,0.3333333333333333,0.4,0.3378378378378378,0.3246753246753247,0.4032258064516129,0.2967359050445103,0.3205128205128205,0.4032258064516129,26.0,0.0,2.44,1.52,133,132,2,0.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,2.0,A,0,Troyes,Toulouse,A,0.5060361588313872,0.25783709391141,0.2361267472572027,2.9600000000000004,3.08,2.48,2.48,0.5060361588313872,0.2549696739018403,0.5060361588313872,0.2699094115741844,0.2699094115741844,True,0.1722768066904325,0.5060361588313872,0.7059048043169563,True,0.2549696739018401
0.4545454545454545,0.3333333333333333,0.2777777777777778,0.4629629629629629,0.3144654088050314,0.2890173410404624,0.4166666666666667,0.3095975232198142,0.2932551319648093,28.0,-0.25,2.13,1.68,97,13,2,1.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,D,1,Nice,Bastia,D,0.2912472253969697,0.3906800862255895,0.3180726883774408,2.16,3.1800000000000006,3.4600000000000004,3.1800000000000006,0.3906800862255895,0.2423626741973747,0.3906800862255895,0.0994328608286197,0.026825462980471,True,0.1111755386226489,0.3906800862255895,0.7280624428914932,True,0.24236267419737464
0.5235602094240838,0.3125,0.23094688221709,0.5235602094240838,0.3134796238244514,0.2298850574712644,0.5586592178770949,0.2923976608187134,0.1680672268907563,26.0,-0.5,2.53,1.49,0,21,2,1.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,H,2,Ajaccio,Brest,H,0.088387357746892,0.2385355742199749,0.6730770680331329,1.91,3.1900000000000004,4.35,1.91,0.6730770680331329,0.2855771999432839,0.6730770680331329,0.5846897102862408,0.5846897102862408,True,0.3138210988387735,0.6730770680331329,0.7487335759058097,True,0.2855771999432839
0.4545454545454545,0.303030303030303,0.3076923076923077,0.4444444444444444,0.3095975232198142,0.3125,0.5,0.2976190476190476,0.2252252252252252,33.0,-0.25,2.11,1.71,103,32,3,0.0,1.0,4.0,1.0,0.0,4.0,1.0,1.0,0.0,H,2,Palermo,Chievo,H,0.215901221500713,0.2298651958177534,0.5542335826815336,2.25,3.2300000000000004,3.2,2.25,0.5542335826815336,0.2470255610334504,0.5542335826815336,0.3383323611808205,0.3383323611808205,True,0.1976204488267604,0.5542335826815336,0.7873120103058203,True,0.24702556103345047
0.4347826086956522,0.3076923076923077,0.3225806451612903,0.4464285714285714,0.3048780487804878,0.3105590062111801,0.4184100418410041,0.3021148036253776,0.3012048192771084,34.0,-0.25,2.1,1.73,55,29,4,0.0,2.0,3.0,2.0,0.0,3.0,2.0,2.0,0.0,H,2,Granada,Celta,H,0.2936485357957079,0.223759267736933,0.482592196467359,2.24,3.28,3.22,2.24,0.482592196467359,0.0810065200868843,0.482592196467359,0.2588329287304259,0.1889436606716511,True,0.0653278387797453,0.482592196467359,0.5877723117584243,True,0.08100652008688418
